,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
526626,20210327,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
535837,20210402,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
546400,20210409,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
556858,20210416,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
567038,20210423,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
577389,20210430,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
587750,20210507,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
598422,20210514,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
608872,20210521,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
619397,20210529,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
